	    ID 	             X 	              Y 	              Z 	  DX 	  DY 	  DZ 	  BV 	        AbsMag 	
	   187 	 46449.3872489 	 -82080.2626585 	  -62651.862715 	 0.0 	 0.0 	 0.0 	 0.0 	 17.8710466661 	
	   188 	 38251.3853725 	 -66481.3546201 	 -50840.1188657 	 0.0 	 0.0 	 0.0 	 0.0 	 15.1157635223 	
	   189 	 12867.2829154 	 -22532.2981089 	  -17139.381563 	 0.0 	 0.0 	 0.0 	 0.0 	 19.9150467501 	
	   190 	 33211.4955671 	 -58355.3097502 	 -44280.0947086 	 0.0 	 0.0 	 0.0 	 0.0 	 18.2016612995 	
	   191 	 12687.1341004 	 -22734.6091989 	 -17379.8314937 	 0.0 	 0.0 	 0.0 	 0.0 	 20.3900336861 	
	   192 	 38254.2039505 	 -68235.6539869 	 -52280.3959413 	 0.0 	 0.0 	 0.0 	 0.0 	 17.9925125079 	
	   193 	 17322.1451547 	 -30923.3176202 	 -23556.2056584 	 0.0 	 0.0 	 0.0 	 0.0 	 17.8584683184 	
	   194 	 14918.3681416 	 -26581.6524806 	 -20122.8488393 	 0.0 	 0.0 	 0.0 	 0.0 	 19.5859338203 	
	   195 	 12759.3807938 	 -22996.0743528 	 -17355.3569629 	 0.0 	 0.0 	 0.0 	 0.0 	 19.2652853201 	
	   196 	 6576.91422459 	 -11790.7766045 	 -8858.78581758 	 0.0 	 0.0 	 0.0 	 0.0 	 21.2210016936 	
	   197 	 21048.8121381 	 -37003.9613284 	 -28010.6711954 	 0.0 	 0.0 	 0.0 	 0.0 	 19.7839999585 	
	   198 	 23299.6678558 	 -41115.8690389 	  -30889.151654 	 0.0 	 0.0 	 0.0 	 0.0 	 18.0112199576 	
	   199 	 14295.4921085 	 -25094.6662822 	 -18931.3610465 	 0.0 	 0.0 	 0.0 	 0.0 	 18.3850397606 	
	   200 	 41589.2817132 	 -72808.1883144 	 -54618.6400639 	 0.0 	 0.0 	 0.0 	 0.0 	 17.4988979042 	
	   201 	 15525.3544347 	  -27706.537499 	 -20726.0899107 	 0.0 	 0.0 	 0.0 	 0.0 	   19.26048367 	
